8.8,致命魔术,2006,美国英国,剧情悬疑惊悚,克里斯托弗·诺兰ChristopherNolan 休·杰克曼HughJackman...,孪生蝙蝠侠大战克隆金刚狼。,467905
8.8,七宗罪,1995,美国,剧情犯罪悬疑惊悚,大卫·芬奇DavidFincher 摩根·弗里曼MorganFreeman/布...,警察抓小偷，老鼠玩死猫。,561721
8.9,被嫌弃的松子的一生,2006,日本,剧情歌舞,中岛哲也TetsuyaNakashima 中谷美纪MikiNakatani/瑛太E...,以戏谑来戏谑戏谑。,415226
9.0,音乐之声,1965,美国,剧情传记爱情歌舞,罗伯特·怀斯RobertWise 朱莉·安德鲁斯JulieAndrews/克...,用音乐化解仇恨，让歌声串起美好。,316146
8.8,低俗小说,1994,美国,剧情喜剧犯罪,昆汀·塔伦蒂诺QuentinTarantino 约翰·特拉沃尔塔JohnTra...,故事的高级讲法。,461543
8.7,天使爱美丽,2001,法国德国,喜剧爱情,让-皮埃尔·热内Jean-PierreJeunet 奥黛丽·塔图AudreyTau...,法式小清新。 ,624327
8.8,沉默的羔羊,1991,美国,剧情犯罪惊悚,乔纳森·戴米JonathanDemme 朱迪·福斯特JodieFoster/安...,安东尼·霍普金斯的顶级表演。,467519
8.9,勇敢的心,1995,美国,动作传记剧情历史战争,梅尔·吉布森MelGibson 梅尔·吉布森MelGibson/苏菲·玛...,史诗大片的典范。,370626
8.9,猫鼠游戏,2002,美国加拿大,传记犯罪剧情,史蒂文·斯皮尔伯格StevenSpielberg 莱昂纳多·迪卡普里奥L...,骗子大师和执著警探的你追我跑故事。 ,360441
8.7,蝴蝶效应,2004,美国加拿大,剧情悬疑科幻惊悚,埃里克·布雷斯EricBress/J·麦基·格鲁伯J.MackyeGruber 主...,人的命运被自己瞬间的抉择改变。,514654
8.7,剪刀手爱德华,1990,美国,剧情奇幻爱情,蒂姆·波顿TimBurton 约翰尼·德普JohnnyDepp/薇诺娜·...,浪漫忧郁的成人童话。,638974
8.9,春光乍泄,1997,香港日本韩国,剧情爱情同性,王家卫KarWaiWong 张国荣LeslieCheung/梁朝伟TonyLeu...,爱情纠缠，男女一致。,342667
8.8,心灵捕手,1997,美国,剧情,格斯·范·桑特GusVanSant 马特·达蒙MattDamon/罗宾·...,人生中应该拥有这样的一段豁然开朗。,375312
8.7,禁闭岛,2010,美国,剧情悬疑惊悚,MartinScorsese 莱昂纳多·迪卡普里奥LeonardoDiCaprio/...,昔日翩翩少年，今日大腹便便。,500397
